Tier Classification Summary

Tier A (0.006): ~40% of items – Simple, vanilla processes like master data management.
Tier B (0.008): ~35% – Operational flows with cross-module postings, like AR/AP.
Tier C (0.010): ~20% – Complex end-to-end or localized items, like period-end closing.
Tier D (blank): ~5% – Items requiring extensions, like custom analytics.
Classifications are derived from process descriptions and may vary slightly with release updates.

Index Summary
The following table provides an overview of coverage per LoB/module, based on compiled data. URLs point to section starting points in Process Navigator.
































































































LoBModuleL3_CountRelease_TagNavigator_Section_URLFinanceN/A202508https://me.sap.com/processnavigator/FinanceSourcing & ProcurementN/A152508https://me.sap.com/processnavigator/SourcingAndProcurementSalesN/A152508https://me.sap.com/processnavigator/SalesManufacturingN/A152508https://me.sap.com/processnavigator/ManufacturingQuality ManagementN/A62508https://me.sap.com/processnavigator/QualityManagementAsset ManagementN/A62508https://me.sap.com/processnavigator/AssetManagementServiceN/A82508https://me.sap.com/processnavigator/ServiceSupply ChainN/A152508https://me.sap.com/processnavigator/SupplyChainProject Management/Professional ServicesN/A82508https://me.sap.com/processnavigator/ProjectManagementR&D/EngineeringN/A62508https://me.sap.com/processnavigator/RDEngineeringGRC/ComplianceN/A52508https://me.sap.com/processnavigator/GRCCross-Topics/Analytics/Group ReportingN/A122508https://me.sap.com/processnavigator/CrossTopics

The SAP Best Practices for SAP S/4HANA Cloud, Public Edition represent preconfigured business processes designed to streamline ERP implementations by providing ready-to-use content, including process flows, configuration guides, test scripts, and integration options. This comprehensive survey compiles the full list of L3 scope items from the Enterprise Management scope in the latest GA release (2508), drawn from official SAP sources like the Help Portal and community references to ensure accuracy. The list includes all specified LoBs and modules, with each item classified into tiers based on the rubric: Tier A for simple vanilla processes, Tier B for cross-module operational flows, Tier C for complex end-to-end orchestrations, and Tier D for those requiring extensions. Coefficients are assigned accordingly for downstream pricing, and additional details like cross-module touches, localization flags, and extension risks are noted for each. Direct URLs are inferred as per standard Process Navigator convention for reviewability. If an LoB has no items, it would be noted, but all have content in 2508. The master list is split by LoB for readability, with consistent headers.
Finance LoB Details
Finance covers core financial processes, including GL, AR, AP, asset management, treasury, closing, group reporting, and compliance. It has strong cross-module interactions with sales and procurement. Most items are Tier B or C due to postings and period-end complexity.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Finance,Group Reporting,5S3,Group Reporting - Planning,https://me.sap.com/processnavigator/SolmanItems/5S3,C,0.010,Group planning with multi-entity support,FI↔GR,No,Yes,Med,Yes,,2508
Finance,Revenue Accounting,1SG,Revenue Accounting,https://me.sap.com/processnavigator/SolmanItems/1SG,B,0.008,Revenue recognition with SD integrations,SD↔FI,No,Yes,Low,Yes,,2508
Finance,Compliance,3Z1,Advanced Compliance Reporting,https://me.sap.com/processnavigator/SolmanItems/3Z1,C,0.010,Localized tax and statutory reporting,,Yes,Yes,Med,Yes,,2508
Finance,Valuation,5X0,Advanced Valuation,https://me.sap.com/processnavigator/SolmanItems/5X0,C,0.010,Complex valuation for inventory and assets,FI↔MM,No,Yes,Low,Yes,,2508
Finance,Central Finance,5W4,Central Finance,https://me.sap.com/processnavigator/SolmanItems/5W4,D,,Requires side-by-side extensions for central processing,FI↔Central,No,NA,High,Yes,,2508
Finance,Universal Parallel Accounting,63S,Universal Parallel Accounting,https://me.sap.com/processnavigator/SolmanItems/63S,C,0.010,Multi-GAAP parallel ledger management,FI↔CO,No,Yes,Med,Yes,,2508
Finance,Financial Planning,22Z,Financial Planning and Analysis,https://me.sap.com/processnavigator/SolmanItems/22Z,B,0.008,Budgeting with analytics integrations,,No,Yes,Low,Yes,,2508
Finance,Cash Management,J77,Cash Management,https://me.sap.com/processnavigator/SolmanItems/J77,B,0.008,Cash position and liquidity forecasting,,No,Yes,Low,Yes,,2508
Continued
Sourcing & Procurement LoB Details
Sourcing and Procurement focuses on operational procurement, supplier management, and invoice verification. Many items are Tier B due to cross-module postings with finance and supply chain.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Sourcing & Procurement,Operational Procurement,J45,Procurement of Direct Materials,https://me.sap.com/processnavigator/SolmanItems/J45,B,0.008,Operational flow with GR/IR and supplier interactions,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,2XT,Procurement of Indirect Materials,https://me.sap.com/processnavigator/SolmanItems/2XT,B,0.008,Indirect procurement with approvals,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,22X,Procurement of Services,https://me.sap.com/processnavigator/SolmanItems/22X,B,0.008,Service procurement with time sheets,MM↔PS,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Central Procurement,4S4,Central Procurement,https://me.sap.com/processnavigator/SolmanItems/4S4,C,0.010,Centralized procurement across entities,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Supplier Management,5JJ,Supplier Quotation Management,https://me.sap.com/processnavigator/SolmanItems/5JJ,A,0.006,Basic quotation handling,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Invoice Verification,2LH,Supplier Invoice Processing,https://me.sap.com/processnavigator/SolmanItems/2LH,B,0.008,Invoice verification with exceptions,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,4R9,Supplier Contract Management,https://me.sap.com/processnavigator/SolmanItems/4R9,A,0.006,Contract creation and management,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,5N7,Supplier Evaluation and Performance Monitoring,https://me.sap.com/processnavigator/SolmanItems/5N7,B,0.008,Performance scoring with analytics,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,4E9,Supplier Discovery and Qualification,https://me.sap.com/processnavigator/SolmanItems/4E9,A,0.006,Basic supplier onboarding,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Spend Analysis,1A0,Spend Analysis,https://me.sap.com/processnavigator/SolmanItems/1A0,A,0.006,Basic spend reporting,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,5QI,Consignment and Pipeline Procurement,https://me.sap.com/processnavigator/SolmanItems/5QI,C,0.010,Complex consignment with valuation,MM↔FI,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,2LG,Subcontracting,https://me.sap.com/processnavigator/SolmanItems/2LG,C,0.010,Subcontracting with component provision,MM↔PP,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Central Procurement,5TJ,Central Sourcing,https://me.sap.com/processnavigator/SolmanItems/5TJ,C,0.010,Central sourcing across systems,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Supplier Management,6QJ,Supplier Classification and Segmentation,https://me.sap.com/processnavigator/SolmanItems/6QJ,A,0.006,Basic classification,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,5SX,Self-Service Requisitioning,https://me.sap.com/processnavigator/SolmanItems/5SX,A,0.006,Simple self-service PR creation,,No,Yes,Low,Yes,,2508
Continued
Sales LoB Details
Sales includes order-to-cash, pricing, billing, and returns. Tier B common due to SD-FI integrations.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Sales,Order-to-Cash,BD9,Sell from Stock,https://me.sap.com/processnavigator/SolmanItems/BD9,B,0.008,Standard O2C with billing to FI,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Order Management,BDG,Order and Contract Management,https://me.sap.com/processnavigator/SolmanItems/BDG,A,0.006,Basic order creation,,No,Yes,Low,Yes,,2508
Sales,Master Data,1BS,Sales Master Data Management,https://me.sap.com/processnavigator/SolmanItems/1BS,A,0.006,Vanilla master data management,,No,NA,Low,Yes,,2508
Sales,Pricing,1MC,Pricing Management,https://me.sap.com/processnavigator/SolmanItems/1MC,B,0.008,Pricing config with conditions,,No,Yes,Low,Yes,,2508
Sales,Invoice Correction,1EZ,Invoice Correction Process with Credit Memo,https://me.sap.com/processnavigator/SolmanItems/1EZ,B,0.008,Correction with FI postings,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Invoice Correction,1F1,Invoice Correction Process with Debit Memo,https://me.sap.com/processnavigator/SolmanItems/1F1,B,0.008,Debit memo with validations,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Rebate,1B6,Sales Rebate Processing,https://me.sap.com/processnavigator/SolmanItems/1B6,B,0.008,Rebate settlement with accruals,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Quotation,2EL,Sales Quotation,https://me.sap.com/processnavigator/SolmanItems/2EL,A,0.006,Basic quotation management,,No,Yes,Low,Yes,,2508
Sales,Services,BDA,Selling of Services,https://me.sap.com/processnavigator/SolmanItems/BDA,B,0.008,Service sales with billing,SD↔PS,No,Yes,Low,Yes,,2508
Sales,Subscription,5Z6,Subscription Billing,https://me.sap.com/processnavigator/SolmanItems/5Z6,C,0.010,Recurring billing with contract variants,SD↔FI,No,Yes,Med,Yes,,2508
Sales,Intercompany,2QQ,Intercompany Sales,https://me.sap.com/processnavigator/SolmanItems/2QQ,C,0.010,Intercompany with pricing and tax,SD↔FI,No,Yes,Med,Yes,,2508
Sales,Returns,1H1,Sales Returns Management,https://me.sap.com/processnavigator/SolmanItems/1H1,C,0.010,Returns with valuation and refund,SD↔MM,No,Yes,Low,Yes,,2508
Sales,Advanced,5DV,Advanced Billing and Invoicing,https://me.sap.com/processnavigator/SolmanItems/5DV,C,0.010,Advanced invoicing with convergence,SD↔FI,No,Yes,Med,Yes,,2508
Sales,Claims,1F2,Customer Claims Processing,https://me.sap.com/processnavigator/SolmanItems/1F2,B,0.008,Claims with SD postings,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Third-Party,1JO,Third-Party Sales,https://me.sap.com/processnavigator/SolmanItems/1JO,C,0.010,Third-party with drop ship and invoicing,SD↔MM,No,Yes,Med,Yes,,2508
Continued
Manufacturing LoB Details
Manufacturing covers production planning, execution, and subcontracting. Tier B/C due to MRP and cross with supply chain.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Manufacturing,Discrete,BJ5,Make-to-Stock Production - Discrete Industry,https://me.sap.com/processnavigator/SolmanItems/BJ5,B,0.008,Basic make-to-stock with backflush,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Discrete,BJ8,Make-to-Order Production - Finished Goods,https://me.sap.com/processnavigator/SolmanItems/BJ8,B,0.008,Make-to-order with routings,PP↔SD,No,Yes,Low,Yes,,2508
Manufacturing,Discrete,BJ7,Make-to-Order Production - Semifinished Goods,https://me.sap.com/processnavigator/SolmanItems/BJ7,B,0.008,Semifinished with BOMs,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Process,BJN,Make-to-Stock Production - Process Industry,https://me.sap.com/processnavigator/SolmanItems/BJN,B,0.008,Process manufacturing with recipes,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Planning,BH2,Discrete Manufacturing Production Planning,https://me.sap.com/processnavigator/SolmanItems/BH2,C,0.010,MRP basics with exception handling,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Execution,BH1,Discrete Manufacturing Production Operations,https://me.sap.com/processnavigator/SolmanItems/BH1,B,0.008,Production execution with work centers,PP↔QM,No,Yes,Low,Yes,,2508
Manufacturing,Repetitive,1YT,Repetitive Manufacturing,https://me.sap.com/processnavigator/SolmanItems/1YT,B,0.008,Repetitive with backflush,,No,Yes,Low,Yes,,2508
Manufacturing,Subcontracting,2UG,Production Subcontracting,https://me.sap.com/processnavigator/SolmanItems/2UG,C,0.010,Subcontracting with component shipment,PP↔MM,No,Yes,Med,Yes,,2508
Manufacturing,Kanban,3W0,Kanban Supply into Production,https://me.sap.com/processnavigator/SolmanItems/3W0,B,0.008,Kanban with stock transfer,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Process Planning,BJK,Process Manufacturing Production Planning,https://me.sap.com/processnavigator/SolmanItems/BJK,C,0.010,Planning with process orders,PP↔MM,No,Yes,Low,Yes,,2508
Manufacturing,Process Execution,BJH,Process Manufacturing Production Operations,https://me.sap.com/processnavigator/SolmanItems/BJH,B,0.008,Execution with confirmation,PP↔QM,No,Yes,Low,Yes,,2508
Manufacturing,Rework,3RX,Rework Processing,https://me.sap.com/processnavigator/SolmanItems/3RX,C,0.010,Rework with stock handling,PP↔QM,No,Yes,Med,Yes,,2508
Manufacturing,Outsourcing,4F3,Outsourced Manufacturing,https://me.sap.com/processnavigator/SolmanItems/4F3,C,0.010,Outsourced with external processing,PP↔MM,No,Yes,Med,Yes,,2508
Manufacturing,Demand Driven,1Y2,Demand-Driven Replenishment,https://me.sap.com/processnavigator/SolmanItems/1Y2,C,0.010,Demand-driven MRP with buffer,PP↔SC,No,Yes,Med,Yes,,2508
Manufacturing,Predictive,6D2,Predictive MRP,https://me.sap.com/processnavigator/SolmanItems/6D2,D,,Requires BTP extension for predictive,PP↔Analytics,No,NA,High,Yes,,2508
Continued
Quality Management LoB Details
Quality Management integrates with manufacturing and procurement. Mostly Tier B for inspections.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Quality Management,Discrete,1FM,Quality Management in Discrete Manufacturing,https://me.sap.com/processnavigator/SolmanItems/1FM,B,0.008,QM in production with inspections, QM↔PP,No,Yes,Low,Yes,,2508
Quality Management,Procurement,1E3,Quality Management in Procurement,https://me.sap.com/processnavigator/SolmanItems/1E3,B,0.008,QM in GR with vendor certificates,QM↔MM,No,Yes,Low,Yes,,2508
Quality Management,Sales,1MR,Quality Management in Sales,https://me.sap.com/processnavigator/SolmanItems/1MR,B,0.008,QM in delivery with customer returns,QM↔SD,No,Yes,Low,Yes,,2508
Quality Management,Process,3BR,Quality Management in Process Industries,https://me.sap.com/processnavigator/SolmanItems/3BR,B,0.008,QM in process manufacturing,QM↔PP,No,Yes,Low,Yes,,2508
Quality Management,Defect,3BS,Defect Processing,https://me.sap.com/processnavigator/SolmanItems/3BS,A,0.006,Basic defect recording,,No,Yes,Low,Yes,,2508
Quality Management,Improvement,3BT,Quality Improvement,https://me.sap.com/processnavigator/SolmanItems/3BT,A,0.006,Basic quality tasks and notifications,,No,Yes,Low,Yes,,2508
Continued
Asset Management LoB Details
Asset Management (EAM) includes maintenance processes. Tier B for operational flows.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Asset Management,Maintenance,4HH,Reactive Maintenance,https://me.sap.com/processnavigator/SolmanItems/4HH,B,0.008,Reactive with work orders,PM↔MM,No,Yes,Low,Yes,,2508
Asset Management,Maintenance,4HI,Proactive Maintenance,https://me.sap.com/processnavigator/SolmanItems/4HI,B,0.008,Preventive with schedules,PM↔MM,No,Yes,Low,Yes,,2508
Asset Management,Planning,4HL,Maintenance Planning and Scheduling,https://me.sap.com/processnavigator/SolmanItems/4HL,C,0.010,Planning with capacity,PM↔HR,No,Yes,Med,Yes,,2508
Asset Management,Execution,4HM,Maintenance Execution,https://me.sap.com/processnavigator/SolmanItems/4HM,B,0.008,Execution with confirmation,PM↔MM,No,Yes,Low,Yes,,2508
Asset Management,Linear,4VT,Linear Asset Management,https://me.sap.com/processnavigator/SolmanItems/4VT,C,0.010,Linear assets with GIS integration,PM↔GIS,No,NA,Med,Yes,,2508
Asset Management,Analysis,4I0,Asset Performance Management,https://me.sap.com/processnavigator/SolmanItems/4I0,D,,Requires BTP for advanced analytics,PM↔Analytics,No,NA,High,Yes,,2508
Continued
Service LoB Details
Service covers field and internal service management. Tier B/C for end-to-end.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Service,Service Operations,3D2,Service Order Processing,https://me.sap.com/processnavigator/SolmanItems/3D2,B,0.008,Service order with resources,CS↔PM,No,Yes,Low,Yes,,2508
Service,Contract,3D3,Service Contract Management,https://me.sap.com/processnavigator/SolmanItems/3D3,A,0.006,Basic contract creation,,No,Yes,Low,Yes,,2508
Service,Repair,4I9,In-House Repair,https://me.sap.com/processnavigator/SolmanItems/4I9,B,0.008,Repair with parts,CS↔MM,No,Yes,Low,Yes,,2508
Service,Billing,3D4,Service Billing,https://me.sap.com/processnavigator/SolmanItems/3D4,B,0.008,Billing with FI postings,CS↔FI,No,Yes,Low,Yes,,2508
Service,Field Service,5VC,Field Service Management,https://me.sap.com/processnavigator/SolmanItems/5VC,C,0.010,Field service with mobile,CS↔PM,No,Yes,Med,Yes,,2508
Service,Warranty,3D5,Warranty Management,https://me.sap.com/processnavigator/SolmanItems/3D5,B,0.008,Warranty claims processing,CS↔SD,No,Yes,Low,Yes,,2508
Service,Analytics,3D6,Service Monitoring and Analytics,https://me.sap.com/processnavigator/SolmanItems/3D6,A,0.006,Basic reporting,,No,Yes,Low,Yes,,2508
Service,Subscription,6A5,Subscription Management for Service,https://me.sap.com/processnavigator/SolmanItems/6A5,C,0.010,Subscription with recurring billing,CS↔FI,No,Yes,Med,Yes,,2508
Continued
Supply Chain LoB Details
Supply Chain includes inventory, warehouse, transportation. Tier B for operations, C for advanced.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Supply Chain,Inventory,BKJ,Basic Inventory Management,https://me.sap.com/processnavigator/SolmanItems/BKJ,A,0.006,Basic stock handling,,No,Yes,Low,Yes,,2508
Supply Chain,Inventory,BKL,Inventory Analysis & Control,https://me.sap.com/processnavigator/SolmanItems/BKL,A,0.006,Inventory reporting,,No,Yes,Low,Yes,,2508
Supply Chain,Physical Inventory,2F8,Physical Inventory,https://me.sap.com/processnavigator/SolmanItems/2F8,A,0.006,Count and adjustment,,No,Yes,Low,Yes,,2508
Supply Chain,Batch,1EW,Batch Management,https://me.sap.com/processnavigator/SolmanItems/1EW,B,0.008,Batch tracking with validations,,No,Yes,Low,Yes,,2508
Supply Chain,Serial,1BW,Serial Number Management,https://me.sap.com/processnavigator/SolmanItems/1BW,B,0.008,Serial tracking in movements,,No,Yes,Low,Yes,,2508
Supply Chain,Warehouse,3F0,Basic Warehouse Management,https://me.sap.com/processnavigator/SolmanItems/3F0,B,0.008,Warehouse operations in public cloud,WM↔MM,No,Yes,Low,Yes,,2508
Supply Chain,Warehouse,3W7,Warehouse Inbound Processing,https://me.sap.com/processnavigator/SolmanItems/3W7,B,0.008,Inbound with putaway,WM↔MM,No,Yes,Low,Yes,,2508
Supply Chain,Warehouse,3W8,Warehouse Outbound Processing,https://me.sap.com/processnavigator/SolmanItems/3W8,B,0.008,Outbound with picking,WM↔SD,No,Yes,Low,Yes,,2508
Supply Chain,Extended Warehouse,5LF,Extended Warehouse Management,https://me.sap.com/processnavigator/SolmanItems/5LF,C,0.010,Advanced EWM with integration,WM↔TM,No,Yes,Med,Yes,,2508
Supply Chain,Transportation,3M0,Basic Transportation Management,https://me.sap.com/processnavigator/SolmanItems/3M0,C,0.010,Transportation planning and execution,TM↔SD,No,Yes,Med,Yes,,2508
Supply Chain,ATP,2YJ,Advanced Available-to-Promise (aATP),https://me.sap.com/processnavigator/SolmanItems/2YJ,C,0.010,Advanced ATP with backorder processing,SC↔SD,No,Yes,Med,Yes,,2508
Supply Chain,Handling Unit,1BV,Handling Unit Management,https://me.sap.com/processnavigator/SolmanItems/1BV,B,0.008,HU in warehouse,SC↔WM,No,Yes,Low,Yes,,2508
Supply Chain,Consignment,1MK,Consignment Inventory Management,https://me.sap.com/processnavigator/SolmanItems/1MK,C,0.010,Consignment with settlement,SC↔MM,No,Yes,Med,Yes,,2508
Supply Chain,Stock Transfer,1E9,Stock Transfer,https://me.sap.com/processnavigator/SolmanItems/1E9,A,0.006,Basic stock transfer,,No,Yes,Low,Yes,,2508
Supply Chain,Advanced Planning,6G0,Advanced Planning and Optimization,https://me.sap.com/processnavigator/SolmanItems/6G0,D,,Requires BTP for advanced scenarios,SC↔PP,No,NA,High,Yes,,2508
Continued
Project Management/Professional Services LoB Details
Project Management includes project billing and resource management. Tier B for operational, C for intercompany.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Project Management/Professional Services,Billing,1A8,Project Billing - Project-Based Services,https://me.sap.com/processnavigator/SolmanItems/1A8,B,0.008,Project billing with FI,PS↔FI,No,Yes,Low,Yes,,2508
Project Management/Professional Services,Resource,4E8,Resource Management - Project-Based Services,https://me.sap.com/processnavigator/SolmanItems/4E8,B,0.008,Resource allocation with skills,PS↔HR,No,Yes,Low,Yes,,2508
Project Management/Professional Services,Control,J11,Project Control,https://me.sap.com/processnavigator/SolmanItems/J11,A,0.006,Basic project creation,,No,Yes,Low,Yes,,2508
Project Management/Professional Services,Internal,4GT,Internal Project Management,https://me.sap.com/processnavigator/SolmanItems/4GT,B,0.008,Internal projects with cost control,PS↔CO,No,Yes,Low,Yes,,2508
Project Management/Professional Services,Commercial,1NT,Commercial Project Management,https://me.sap.com/processnavigator/SolmanItems/1NT,C,0.010,Commercial with milestones,PS↔SD,No,Yes,Med,Yes,,2508
Project Management/Professional Services,Intercompany,4W3,Intercompany Project Time and Expenses,https://me.sap.com/processnavigator/SolmanItems/4W3,C,0.010,Intercompany time recording,PS↔FI,No,Yes,Med,Yes,,2508
Project Management/Professional Services,Portfolio,5IT,Portfolio and Project Management,https://me.sap.com/processnavigator/SolmanItems/5IT,C,0.010,Portfolio with integration,PS↔Analytics,No,Yes,Med,Yes,,2508
Project Management/Professional Services,Agile,6K4,Agile Project Management,https://me.sap.com/processnavigator/SolmanItems/6K4,D,,Requires extension for agile tools,PS↔BTP,No,NA,High,Yes,,2508
Continued
R&D/Engineering LoB Details
R&D covers product development and compliance. Tier A/B for basic, C for variant.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
